,used,exhausted,rounds
245,1.0,1.0,[0]
2133,1.0,1.0,[0]
1751,1.0,1.0,[0]
2232,1.0,1.0,[0]
938,1.0,1.0,[0]
1721,1.0,1.0,[0]
736,1.0,1.0,[0]
1336,1.0,1.0,[0]
1023,1.0,1.0,[0]
3,1.0,1.0,[0]
1625,1.0,1.0,[0]
1066,1.0,1.0,[0]
2122,1.0,1.0,[0]
170,1.0,1.0,[0]
2220,1.0,1.0,[0]
328,1.0,1.0,[0]
311,1.0,1.0,[0]
1146,1.0,1.0,[0]
1321,1.0,1.0,[0]
424,1.0,1.0,[0]
2279,1.0,1.0,[0]
960,1.0,1.0,[0]
2002,1.0,1.0,[0]
2192,1.0,1.0,[0]
366,1.0,1.0,[0]
1722,1.0,1.0,[0]
95,1.0,1.0,[0]
2382,1.0,1.0,[0]
608,1.0,1.0,[0]
1333,1.0,1.0,[0]
1551,1.0,1.0,[0]
1124,1.0,1.0,[0]
2219,1.0,1.0,[0]
1255,1.0,1.0,[0]
1776,1.0,1.0,[0]
1962,1.0,1.0,[0]
1996,1.0,1.0,[0]
2009,1.0,1.0,[0]
40,1.0,1.0,[0]
557,1.0,1.0,[0]
1694,1.0,1.0,[0]
414,1.0,1.0,[0]
1381,1.0,1.0,[0]
558,1.0,1.0,[0]
2329,1.0,1.0,[0]
750,1.0,1.0,[0]
1406,1.0,1.0,[0]
1799,1.0,1.0,[0]
1830,1.0,1.0,[0]
2284,1.0,1.0,[0]
1482,1.0,1.0,[0]
252,1.0,1.0,[0]
1213,1.0,1.0,[0]
1177,1.0,1.0,[0]
1778,1.0,1.0,[0]
2338,1.0,1.0,[0]
814,1.0,1.0,[0]
508,1.0,1.0,[0]
239,1.0,1.0,[0]
1679,1.0,1.0,[0]
1074,1.0,1.0,[0]
693,1.0,1.0,[0]
20,1.0,1.0,[0]
343,1.0,1.0,[0]
638,1.0,1.0,[0]
585,1.0,1.0,[0]
331,1.0,1.0,[0]
1842,1.0,1.0,[0]
1599,1.0,1.0,[0]
181,1.0,1.0,[0]
360,1.0,1.0,[0]
1439,1.0,1.0,[0]
665,1.0,1.0,[0]
1823,1.0,1.0,[0]
2069,1.0,1.0,[0]
1351,1.0,1.0,[0]
1628,1.0,1.0,[0]
1499,1.0,1.0,[0]
703,1.0,1.0,[0]
189,1.0,1.0,[0]
1567,1.0,1.0,[0]
2322,1.0,1.0,[0]
386,1.0,1.0,[0]
2158,1.0,1.0,[0]
2301,1.0,1.0,[0]
2361,1.0,1.0,[0]
1946,1.0,1.0,[0]
2029,1.0,1.0,[0]
581,1.0,1.0,[0]
1011,1.0,1.0,[0]
1287,1.0,1.0,[0]
590,1.0,1.0,[0]
1592,1.0,1.0,[0]
371,1.0,1.0,[0]
454,1.0,1.0,[0]
1974,1.0,1.0,[0]
257,1.0,1.0,[0]
654,1.0,1.0,[0]
956,1.0,1.0,[0]
51,1.0,1.0,[0]
494,1.0,1.0,[0]
920,1.0,1.0,[0]
63,1.0,1.0,[0]
1226,1.0,1.0,[0]
2100,1.0,1.0,[0]
377,1.0,1.0,[0]
738,1.0,1.0,[0]
548,1.0,1.0,[0]
1282,1.0,1.0,[0]
865,1.0,1.0,[0]
84,1.0,1.0,[0]
214,1.0,1.0,[0]
1407,1.0,1.0,[0]
2320,1.0,1.0,[0]
2136,1.0,1.0,[0]
242,1.0,1.0,[0]
639,1.0,1.0,[0]
1630,1.0,1.0,[0]
1676,1.0,1.0,[0]
1900,3.0,1.0,"[136, 143, 153]"
637,2.0,1.0,"[16, 22]"
1392,2.0,1.0,"[145, 157]"
612,1.0,1.0,[146]
932,1.0,1.0,[16]
505,4.0,1.0,"[23, 28, 33, 34]"
416,3.0,1.0,"[38, 59, 63]"
1133,1.0,1.0,[73]
2010,3.0,1.0,"[64, 70, 81]"
2274,3.0,1.0,"[42, 48, 50]"
406,0.0,0.0,[]
1179,1.0,1.0,[41]
1201,1.0,1.0,[97]
1270,1.0,1.0,[172]
1189,1.0,1.0,[172]
644,0.0,0.0,[]
1979,2.0,1.0,"[85, 95]"
1534,1.0,1.0,[45]
1304,0.0,0.0,[]
2308,1.0,1.0,[22]
1696,2.0,1.0,"[169, 173]"
1936,1.0,1.0,[16]
2360,1.0,1.0,[15]
389,1.0,1.0,[78]
1767,3.0,1.0,"[155, 156, 157]"
67,2.0,1.0,"[120, 133]"
2270,1.0,1.0,[147]
235,5.0,1.0,"[49, 74, 90, 113, 119]"
133,1.0,1.0,[43]
935,2.0,1.0,"[83, 118]"
2383,1.0,1.0,[108]
2236,2.0,1.0,"[2, 14]"
747,4.0,1.0,"[99, 128, 137, 139]"
2295,3.0,1.0,"[98, 114, 124]"
2182,1.0,1.0,[70]
1271,3.0,1.0,"[134, 178, 182]"
886,1.0,1.0,[102]
207,1.0,1.0,[98]
434,3.0,1.0,"[107, 144, 150]"
5,1.0,1.0,[71]
327,2.0,1.0,"[161, 163]"
860,0.0,0.0,[]
2251,2.0,1.0,"[2, 32]"
2349,2.0,1.0,"[31, 33]"
298,1.0,1.0,[121]
1029,0.0,0.0,[]
2168,3.0,1.0,"[11, 21, 32]"
835,0.0,0.0,[]
1698,1.0,1.0,[10]
1618,1.0,1.0,[142]
2207,1.0,1.0,[10]
2244,2.0,1.0,"[5, 6]"
2298,1.0,1.0,[86]
1919,2.0,1.0,"[8, 20]"
1466,3.0,1.0,"[76, 92, 99]"
484,0.0,0.0,[]
683,1.0,1.0,[72]
2174,1.0,1.0,[114]
433,1.0,1.0,[171]
2172,0.0,0.0,[]
1311,1.0,1.0,[119]
1608,1.0,1.0,[42]
2353,3.0,1.0,"[68, 79, 87]"
310,2.0,0.0,"[162, 171]"
25,1.0,1.0,[51]
2085,1.0,1.0,[81]
2249,3.0,1.0,"[5, 7, 9]"
658,2.0,1.0,"[139, 175]"
1326,1.0,1.0,[37]
1902,1.0,1.0,[155]
1809,1.0,1.0,[18]
1914,2.0,1.0,"[22, 34]"
1015,1.0,1.0,[16]
564,0.0,0.0,[]
1811,2.0,1.0,"[118, 130]"
836,1.0,1.0,[17]
994,1.0,1.0,[166]
896,4.0,1.0,"[134, 148, 170, 181]"
1465,1.0,1.0,[58]
1861,1.0,1.0,[22]
1053,0.0,0.0,[]
1274,2.0,1.0,"[107, 120]"
999,0.0,0.0,[]
1207,1.0,1.0,[45]
1040,2.0,1.0,"[142, 157]"
2086,0.0,0.0,[]
781,1.0,1.0,[168]
1726,1.0,1.0,[112]
363,3.0,1.0,"[174, 178, 182]"
1644,2.0,1.0,"[53, 85]"
2194,1.0,1.0,[44]
1453,3.0,1.0,"[156, 173, 175]"
259,1.0,0.0,[153]
487,2.0,1.0,"[107, 138]"
102,1.0,1.0,[161]
35,2.0,1.0,"[116, 129]"
1312,2.0,1.0,"[120, 157]"
607,0.0,0.0,[]
702,0.0,0.0,[]
764,1.0,1.0,[48]
1041,0.0,0.0,[]
1692,1.0,1.0,[7]
2178,2.0,1.0,"[17, 29]"
2292,3.0,1.0,"[147, 155, 159]"
241,0.0,0.0,[]
2283,1.0,1.0,[70]
931,1.0,1.0,[163]
2073,3.0,1.0,"[145, 155, 159]"
2164,5.0,1.0,"[60, 74, 81, 83, 88]"
422,1.0,1.0,[98]
989,4.0,1.0,"[123, 178, 179, 182]"
2114,1.0,1.0,[12]
42,2.0,1.0,"[128, 131]"
