,used,exhausted,rounds
36,1.0,1.0,[0]
313,1.0,1.0,[0]
265,1.0,1.0,[0]
484,1.0,1.0,[0]
491,1.0,1.0,[0]
458,1.0,1.0,[0]
268,1.0,1.0,[0]
321,1.0,1.0,[0]
77,1.0,1.0,[0]
160,1.0,1.0,[0]
91,1.0,1.0,[0]
254,1.0,1.0,[0]
22,1.0,1.0,[0]
400,1.0,1.0,[0]
238,1.0,1.0,[0]
208,1.0,1.0,[0]
417,1.0,1.0,[0]
443,1.0,1.0,[0]
112,1.0,1.0,[0]
174,1.0,1.0,[0]
78,1.0,1.0,[0]
379,1.0,1.0,[0]
158,1.0,1.0,[0]
252,1.0,1.0,[0]
212,1.0,1.0,[19]
18,2.0,1.0,"[63, 72]"
230,1.0,1.0,[168]
407,1.0,1.0,[18]
197,1.0,1.0,[102]
343,1.0,1.0,[79]
44,1.0,1.0,[142]
351,3.0,1.0,"[22, 35, 39]"
271,2.0,1.0,"[3, 48]"
73,1.0,1.0,[53]
255,1.0,1.0,[101]
119,2.0,1.0,"[3, 22]"
409,3.0,1.0,"[6, 7, 8]"
141,1.0,1.0,[44]
326,1.0,1.0,[57]
243,6.0,1.0,"[5, 22, 23, 24, 25, 26]"
454,1.0,1.0,[9]
319,2.0,1.0,"[38, 39]"
53,1.0,1.0,[83]
463,4.0,1.0,"[19, 21, 23, 27]"
59,2.0,1.0,"[130, 149]"
62,1.0,1.0,[82]
227,2.0,1.0,"[51, 65]"
138,1.0,1.0,[33]
388,4.0,1.0,"[74, 107, 108, 109]"
391,1.0,1.0,[177]
165,1.0,1.0,[134]
27,2.0,1.0,"[108, 112]"
195,1.0,1.0,[145]
180,2.0,1.0,"[40, 130]"
261,4.0,1.0,"[99, 108, 110, 111]"
147,3.0,1.0,"[115, 118, 121]"
213,2.0,1.0,"[160, 167]"
356,1.0,1.0,[5]
150,2.0,1.0,"[3, 9]"
140,6.0,1.0,"[148, 149, 150, 151, 152, 154]"
250,6.0,1.0,"[127, 131, 136, 143, 144, 146]"
361,4.0,1.0,"[41, 75, 76, 77]"
159,2.0,1.0,"[107, 134]"
325,1.0,1.0,[50]
242,2.0,1.0,"[66, 68]"
426,1.0,1.0,[139]
347,4.0,1.0,"[70, 76, 77, 78]"
467,1.0,1.0,[59]
267,2.0,1.0,"[78, 94]"
25,2.0,1.0,"[58, 96]"
63,1.0,1.0,[126]
102,1.0,1.0,[140]
209,2.0,1.0,"[113, 126]"
169,1.0,1.0,[136]
61,2.0,1.0,"[68, 101]"
101,3.0,1.0,"[18, 20, 21]"
375,1.0,1.0,[7]
354,1.0,1.0,[66]
51,1.0,1.0,[10]
431,2.0,1.0,"[159, 172]"
453,1.0,1.0,[80]
48,5.0,1.0,"[10, 13, 15, 16, 17]"
422,1.0,1.0,[99]
224,1.0,1.0,[5]
259,2.0,1.0,"[179, 180]"
171,1.0,1.0,[155]
299,1.0,1.0,[49]
441,1.0,1.0,[173]
137,4.0,1.0,"[23, 84, 87, 91]"
220,1.0,1.0,[112]
339,1.0,1.0,[105]
340,1.0,1.0,[121]
390,4.0,1.0,"[103, 114, 115, 117]"
276,1.0,1.0,[25]
37,1.0,1.0,[130]
358,1.0,1.0,[6]
