,used,exhausted,rounds
36,1.0,1.0,[0]
313,1.0,1.0,[0]
265,1.0,1.0,[0]
484,1.0,1.0,[0]
491,1.0,1.0,[0]
458,1.0,1.0,[0]
268,1.0,1.0,[0]
321,1.0,1.0,[0]
77,1.0,1.0,[0]
160,1.0,1.0,[0]
91,1.0,1.0,[0]
254,1.0,1.0,[0]
22,1.0,1.0,[0]
400,1.0,1.0,[0]
238,1.0,1.0,[0]
208,1.0,1.0,[0]
417,1.0,1.0,[0]
443,1.0,1.0,[0]
112,1.0,1.0,[0]
174,1.0,1.0,[0]
78,1.0,1.0,[0]
379,1.0,1.0,[0]
158,1.0,1.0,[0]
252,1.0,1.0,[0]
212,1.0,1.0,[14]
18,2.0,1.0,"[20, 76]"
230,1.0,1.0,[171]
407,1.0,1.0,[9]
197,1.0,1.0,[103]
343,1.0,1.0,[88]
44,1.0,1.0,[133]
351,3.0,1.0,"[16, 35, 36]"
271,2.0,1.0,"[13, 44]"
73,1.0,1.0,[43]
255,1.0,1.0,[100]
119,2.0,1.0,"[25, 30]"
409,3.0,1.0,"[27, 28, 29]"
141,1.0,1.0,[75]
326,1.0,1.0,[22]
243,6.0,1.0,"[5, 20, 21, 22, 23, 24]"
454,1.0,1.0,[2]
319,2.0,1.0,"[6, 23]"
53,1.0,1.0,[32]
463,4.0,1.0,"[24, 61, 62, 63]"
59,2.0,1.0,"[132, 142]"
62,1.0,1.0,[84]
227,2.0,1.0,"[26, 66]"
138,1.0,1.0,[99]
388,4.0,1.0,"[100, 101, 102, 108]"
391,1.0,1.0,[176]
165,1.0,1.0,[130]
27,2.0,1.0,"[106, 116]"
195,1.0,1.0,[159]
180,2.0,1.0,"[82, 132]"
261,4.0,1.0,"[87, 92, 93, 94]"
147,3.0,1.0,"[104, 116, 117]"
213,2.0,1.0,"[167, 172]"
356,1.0,1.0,[31]
150,2.0,1.0,"[11, 14]"
140,6.0,1.0,"[135, 156, 157, 158, 161, 162]"
250,6.0,1.0,"[125, 131, 137, 139, 140, 142]"
361,4.0,1.0,"[18, 70, 71, 72]"
159,2.0,1.0,"[102, 126]"
325,1.0,1.0,[34]
242,2.0,1.0,"[34, 74]"
426,1.0,1.0,[148]
347,4.0,1.0,"[48, 68, 69, 70]"
467,1.0,1.0,[45]
267,2.0,1.0,"[91, 98]"
25,2.0,1.0,"[47, 89]"
63,1.0,1.0,[112]
102,1.0,1.0,[136]
209,2.0,1.0,"[112, 137]"
169,1.0,1.0,[121]
61,2.0,1.0,"[63, 107]"
101,3.0,1.0,"[48, 68, 71]"
375,1.0,1.0,[20]
354,1.0,1.0,[58]
51,1.0,1.0,[15]
431,2.0,1.0,"[171, 172]"
453,1.0,1.0,[89]
48,5.0,1.0,"[33, 49, 50, 51, 52]"
422,1.0,1.0,[99]
224,1.0,1.0,[35]
259,2.0,1.0,"[174, 175]"
171,1.0,1.0,[149]
299,1.0,1.0,[82]
441,1.0,1.0,[166]
137,4.0,1.0,"[103, 108, 112, 113]"
220,1.0,1.0,[105]
339,1.0,1.0,[101]
340,1.0,1.0,[95]
390,4.0,1.0,"[98, 116, 117, 118]"
276,1.0,1.0,[30]
37,1.0,1.0,[71]
358,1.0,1.0,[7]
