,used,exhausted,rounds
36,1.0,1.0,[0]
313,1.0,1.0,[0]
265,1.0,1.0,[0]
484,1.0,1.0,[0]
491,1.0,1.0,[0]
458,1.0,1.0,[0]
268,1.0,1.0,[0]
321,1.0,1.0,[0]
77,1.0,1.0,[0]
160,1.0,1.0,[0]
91,1.0,1.0,[0]
254,1.0,1.0,[0]
22,1.0,1.0,[0]
400,1.0,1.0,[0]
238,1.0,1.0,[0]
208,1.0,1.0,[0]
417,1.0,1.0,[0]
443,1.0,1.0,[0]
112,1.0,1.0,[0]
174,1.0,1.0,[0]
78,1.0,1.0,[0]
379,1.0,1.0,[0]
158,1.0,1.0,[0]
252,1.0,1.0,[0]
212,1.0,1.0,[175]
18,2.0,1.0,"[172, 173]"
230,1.0,1.0,[161]
407,1.0,1.0,[162]
197,1.0,1.0,[163]
343,1.0,1.0,[140]
44,1.0,1.0,[141]
351,3.0,1.0,"[142, 143, 144]"
271,2.0,1.0,"[145, 146]"
73,1.0,1.0,[147]
255,1.0,1.0,[94]
119,2.0,1.0,"[95, 96]"
409,3.0,1.0,"[97, 98, 99]"
141,1.0,1.0,[100]
326,1.0,1.0,[101]
243,6.0,1.0,"[102, 103, 104, 105, 106, 107]"
454,1.0,1.0,[108]
319,2.0,1.0,"[109, 110]"
53,1.0,1.0,[111]
463,4.0,1.0,"[112, 113, 114, 115]"
59,2.0,1.0,"[6, 7]"
62,1.0,1.0,[8]
227,2.0,1.0,"[9, 10]"
138,1.0,1.0,[11]
388,4.0,1.0,"[12, 13, 14, 15]"
391,1.0,1.0,[16]
165,1.0,1.0,[17]
27,2.0,1.0,"[18, 19]"
195,1.0,1.0,[20]
180,2.0,1.0,"[21, 22]"
261,4.0,1.0,"[23, 24, 25, 26]"
147,3.0,1.0,"[27, 28, 29]"
213,2.0,1.0,"[30, 31]"
356,1.0,1.0,[32]
150,2.0,1.0,"[33, 34]"
140,6.0,1.0,"[35, 36, 37, 38, 39, 40]"
250,6.0,1.0,"[41, 42, 43, 44, 45, 46]"
361,4.0,1.0,"[47, 48, 49, 50]"
159,2.0,1.0,"[51, 52]"
325,1.0,1.0,[53]
242,2.0,1.0,"[54, 55]"
426,1.0,1.0,[56]
347,4.0,1.0,"[57, 58, 59, 60]"
467,1.0,1.0,[61]
267,2.0,1.0,"[62, 63]"
25,2.0,1.0,"[64, 65]"
63,1.0,1.0,[66]
102,1.0,1.0,[67]
209,2.0,1.0,"[68, 69]"
169,1.0,1.0,[70]
61,2.0,1.0,"[71, 72]"
101,3.0,1.0,"[73, 74, 75]"
375,1.0,1.0,[76]
354,1.0,1.0,[77]
51,1.0,1.0,[78]
431,2.0,1.0,"[79, 80]"
453,1.0,1.0,[81]
48,5.0,1.0,"[82, 83, 84, 116, 117]"
422,1.0,1.0,[118]
224,1.0,1.0,[119]
259,2.0,1.0,"[120, 121]"
171,1.0,1.0,[122]
299,1.0,1.0,[123]
441,1.0,1.0,[124]
137,4.0,1.0,"[125, 126, 127, 128]"
220,1.0,1.0,[129]
339,1.0,1.0,[130]
340,1.0,1.0,[131]
390,4.0,1.0,"[132, 133, 148, 149]"
276,1.0,1.0,[150]
37,1.0,1.0,[151]
358,1.0,1.0,[152]
