,used,exhausted,rounds
259,1.0,1.0,[0]
137,1.0,1.0,[0]
243,1.0,1.0,[0]
341,1.0,1.0,[0]
125,1.0,1.0,[0]
17,1.0,1.0,[0]
155,1.0,1.0,[0]
427,1.0,1.0,[0]
414,1.0,1.0,[0]
448,1.0,1.0,[0]
253,1.0,1.0,[0]
228,1.0,1.0,[0]
123,1.0,1.0,[0]
425,1.0,1.0,[0]
188,1.0,1.0,[0]
69,1.0,1.0,[0]
308,1.0,1.0,[0]
175,1.0,1.0,[0]
457,1.0,1.0,[0]
105,1.0,1.0,[0]
18,1.0,1.0,[0]
366,1.0,1.0,[0]
318,1.0,1.0,[0]
107,1.0,1.0,[0]
337,1.0,1.0,[132]
100,2.0,1.0,"[16, 83]"
104,1.0,1.0,[73]
225,1.0,1.0,[138]
143,1.0,1.0,[2]
44,1.0,1.0,[18]
184,1.0,1.0,[94]
218,3.0,1.0,"[122, 123, 124]"
312,2.0,1.0,"[24, 96]"
251,1.0,1.0,[79]
429,1.0,1.0,[91]
388,2.0,1.0,"[143, 162]"
194,3.0,1.0,"[57, 69, 71]"
317,1.0,1.0,[21]
357,1.0,1.0,[39]
354,6.0,1.0,"[148, 154, 155, 156, 157, 158]"
355,1.0,1.0,[176]
403,2.0,1.0,"[144, 145]"
477,1.0,1.0,[134]
339,4.0,1.0,"[63, 104, 116, 117]"
284,2.0,1.0,"[82, 100]"
152,1.0,1.0,[16]
62,2.0,1.0,"[98, 133]"
461,1.0,1.0,[11]
380,4.0,1.0,"[152, 157, 167, 168]"
157,1.0,1.0,[173]
310,1.0,1.0,[166]
260,2.0,1.0,"[2, 7]"
342,1.0,1.0,[179]
277,2.0,1.0,"[41, 60]"
449,4.0,1.0,"[67, 75, 77, 92]"
349,3.0,1.0,"[85, 114, 153]"
479,2.0,1.0,"[14, 74]"
472,1.0,1.0,[18]
340,2.0,1.0,"[19, 35]"
458,6.0,1.0,"[43, 61, 84, 92, 93, 94]"
132,6.0,1.0,"[88, 92, 129, 131, 135, 136]"
466,4.0,1.0,"[53, 60, 62, 71]"
180,2.0,1.0,"[119, 120]"
428,1.0,1.0,[135]
71,2.0,1.0,"[89, 165]"
221,1.0,1.0,[93]
138,4.0,1.0,"[26, 45, 63, 64]"
177,1.0,1.0,[168]
379,2.0,1.0,"[66, 103]"
440,2.0,1.0,"[34, 47]"
485,1.0,1.0,[88]
361,1.0,1.0,[37]
97,2.0,1.0,"[53, 144]"
375,1.0,1.0,[97]
185,2.0,1.0,"[59, 74]"
405,3.0,1.0,"[85, 115, 121]"
373,1.0,1.0,[83]
422,1.0,1.0,[34]
119,1.0,1.0,[102]
415,2.0,1.0,"[2, 4]"
89,1.0,1.0,[157]
25,5.0,1.0,"[29, 85, 122, 141, 142]"
258,1.0,1.0,[116]
487,1.0,1.0,[18]
237,2.0,1.0,"[101, 121]"
109,1.0,1.0,[91]
467,1.0,1.0,[6]
433,1.0,1.0,[118]
402,4.0,1.0,"[136, 137, 141, 142]"
80,1.0,1.0,[13]
248,1.0,1.0,[42]
165,1.0,1.0,[153]
363,4.0,1.0,"[40, 96, 113, 125]"
159,1.0,1.0,[4]
86,1.0,1.0,[11]
344,1.0,1.0,[42]
437,3.0,1.0,"[98, 108, 110]"
269,1.0,1.0,[52]
255,1.0,1.0,[91]
256,1.0,1.0,[100]
456,2.0,1.0,"[11, 156]"
211,4.0,1.0,"[30, 38, 44, 45]"
231,1.0,1.0,[34]
398,1.0,1.0,[155]
1,2.0,1.0,"[169, 171]"
368,1.0,1.0,[161]
238,2.0,1.0,"[31, 32]"
278,1.0,1.0,[72]
173,2.0,1.0,"[66, 104]"
153,1.0,1.0,[37]
436,1.0,1.0,[126]
328,7.0,1.0,"[23, 57, 64, 66, 75, 76, 77]"
369,1.0,1.0,[102]
480,2.0,1.0,"[22, 64]"
45,1.0,1.0,[3]
43,1.0,1.0,[78]
489,1.0,1.0,[95]
131,4.0,1.0,"[146, 170, 171, 172]"
161,1.0,1.0,[42]
39,3.0,1.0,"[49, 85, 86]"
493,2.0,1.0,"[76, 128]"
29,2.0,1.0,"[150, 155]"
229,1.0,1.0,[22]
223,1.0,1.0,[139]
275,4.0,1.0,"[114, 154, 159, 165]"
332,3.0,1.0,"[63, 70, 72]"
198,1.0,1.0,[65]
347,3.0,1.0,"[106, 113, 123]"
325,3.0,1.0,"[107, 108, 112]"
367,4.0,1.0,"[23, 68, 73, 75]"
475,1.0,1.0,[54]
404,1.0,1.0,[143]
304,1.0,1.0,[111]
394,1.0,1.0,[179]
274,2.0,1.0,"[107, 117]"
453,2.0,1.0,"[34, 55]"
263,1.0,1.0,[8]
387,1.0,1.0,[80]
336,1.0,1.0,[108]
286,2.0,1.0,"[25, 46]"
21,1.0,1.0,[83]
320,1.0,1.0,[61]
400,1.0,1.0,[72]
309,3.0,1.0,"[21, 46, 47]"
219,2.0,1.0,"[13, 163]"
176,1.0,1.0,[25]
76,5.0,1.0,"[147, 168, 169, 170, 171]"
417,1.0,1.0,[61]
236,2.0,1.0,"[43, 60]"
129,1.0,1.0,[73]
40,2.0,1.0,"[56, 131]"
193,4.0,1.0,"[166, 167, 168, 169]"
66,3.0,1.0,"[51, 118, 120]"
11,1.0,1.0,[111]
87,3.0,1.0,"[160, 162, 163]"
30,1.0,1.0,[20]
426,1.0,1.0,[140]
