,used,exhausted,rounds
311,1.0,1.0,[0]
354,1.0,1.0,[0]
342,1.0,1.0,[0]
423,1.0,1.0,[0]
67,1.0,1.0,[0]
66,1.0,1.0,[0]
210,1.0,1.0,[0]
86,1.0,1.0,[0]
410,1.0,1.0,[0]
7,1.0,1.0,[0]
416,1.0,1.0,[0]
366,1.0,1.0,[0]
493,1.0,1.0,[0]
196,1.0,1.0,[0]
461,1.0,1.0,[0]
51,1.0,1.0,[0]
78,1.0,1.0,[0]
436,1.0,1.0,[0]
491,1.0,1.0,[0]
60,1.0,1.0,[0]
12,1.0,1.0,[0]
267,1.0,1.0,[0]
172,1.0,1.0,[0]
97,1.0,1.0,[0]
127,1.0,1.0,[47]
79,2.0,1.0,"[115, 116]"
95,1.0,1.0,[43]
357,1.0,1.0,[55]
233,1.0,1.0,[157]
236,1.0,1.0,[94]
353,1.0,1.0,[121]
16,3.0,1.0,"[128, 151, 152]"
450,2.0,1.0,"[112, 126]"
300,1.0,1.0,[26]
307,1.0,1.0,[8]
117,2.0,1.0,"[47, 64]"
4,3.0,1.0,"[144, 149, 150]"
244,1.0,1.0,[52]
377,1.0,1.0,[88]
425,6.0,1.0,"[167, 168, 170, 173, 175, 176]"
186,1.0,1.0,[117]
163,2.0,1.0,"[83, 129]"
463,1.0,1.0,[81]
176,4.0,1.0,"[32, 88, 92, 93]"
6,2.0,1.0,"[33, 89]"
330,1.0,1.0,[56]
235,2.0,1.0,"[66, 98]"
279,1.0,1.0,[45]
257,4.0,1.0,"[37, 58, 59, 60]"
401,1.0,1.0,[52]
387,1.0,1.0,[62]
144,2.0,1.0,"[85, 123]"
55,1.0,1.0,[36]
327,2.0,1.0,"[156, 157]"
208,4.0,1.0,"[124, 143, 144, 146]"
46,3.0,1.0,"[112, 137, 146]"
126,2.0,1.0,"[44, 54]"
430,1.0,1.0,[142]
26,2.0,1.0,"[175, 179]"
341,6.0,1.0,"[75, 90, 91, 93, 94, 105]"
58,6.0,1.0,"[4, 29, 34, 36, 37, 38]"
294,4.0,1.0,"[26, 41, 42, 43]"
288,2.0,1.0,"[45, 89]"
335,1.0,1.0,[28]
402,2.0,1.0,"[29, 78]"
248,1.0,1.0,[101]
273,4.0,1.0,"[148, 155, 158, 159]"
225,1.0,1.0,[172]
422,2.0,1.0,"[13, 27]"
356,2.0,1.0,"[136, 155]"
390,1.0,1.0,[91]
407,1.0,1.0,[129]
474,2.0,1.0,"[112, 151]"
90,1.0,1.0,[110]
391,2.0,1.0,"[150, 162]"
195,3.0,1.0,"[81, 120, 121]"
396,1.0,1.0,[87]
374,1.0,1.0,[62]
153,1.0,1.0,[57]
154,2.0,1.0,"[97, 132]"
113,1.0,1.0,[7]
216,5.0,1.0,"[105, 157, 159, 160, 167]"
346,1.0,1.0,[142]
193,1.0,1.0,[86]
168,2.0,1.0,"[152, 174]"
171,1.0,1.0,[10]
460,1.0,1.0,[34]
470,1.0,1.0,[6]
345,4.0,1.0,"[153, 162, 165, 166]"
262,1.0,1.0,[176]
489,1.0,1.0,[30]
170,1.0,1.0,[88]
457,4.0,1.0,"[78, 110, 115, 122]"
18,1.0,1.0,[114]
348,1.0,1.0,[74]
88,1.0,1.0,[150]
389,3.0,1.0,"[73, 110, 114]"
37,1.0,1.0,[66]
256,1.0,1.0,[62]
394,1.0,1.0,[164]
431,2.0,1.0,"[56, 60]"
388,4.0,1.0,"[35, 51, 52, 54]"
409,1.0,1.0,[75]
318,1.0,1.0,[82]
184,2.0,1.0,"[43, 44]"
337,1.0,1.0,[1]
223,2.0,1.0,"[158, 165]"
382,1.0,1.0,[67]
38,2.0,1.0,"[8, 37]"
241,1.0,1.0,[2]
438,1.0,1.0,[39]
283,7.0,1.0,"[159, 163, 164, 165, 166, 167, 168]"
432,1.0,1.0,[20]
103,2.0,1.0,"[27, 96]"
293,1.0,1.0,[174]
362,1.0,1.0,[172]
253,1.0,1.0,[94]
121,4.0,1.0,"[75, 130, 145, 146]"
214,1.0,1.0,[89]
105,3.0,1.0,"[105, 109, 116]"
239,2.0,1.0,"[151, 166]"
329,2.0,1.0,"[15, 26]"
331,1.0,1.0,[67]
255,1.0,1.0,[16]
304,4.0,1.0,"[98, 102, 103, 109]"
456,3.0,1.0,"[19, 53, 59]"
40,1.0,1.0,[31]
395,3.0,1.0,"[13, 47, 57]"
411,3.0,1.0,"[147, 149, 154]"
314,4.0,1.0,"[38, 73, 76, 81]"
2,1.0,1.0,[134]
317,1.0,1.0,[98]
265,1.0,1.0,[65]
444,1.0,1.0,[6]
63,2.0,1.0,"[84, 92]"
271,2.0,1.0,"[47, 112]"
76,1.0,1.0,[138]
19,1.0,1.0,[107]
372,1.0,1.0,[4]
71,2.0,1.0,"[29, 78]"
73,1.0,1.0,[48]
483,1.0,1.0,[13]
278,1.0,1.0,[176]
296,3.0,1.0,"[46, 88, 99]"
343,2.0,1.0,"[100, 136]"
222,1.0,1.0,[166]
285,5.0,1.0,"[119, 126, 127, 129, 130]"
120,1.0,1.0,[54]
234,2.0,1.0,"[10, 37]"
419,1.0,1.0,[114]
475,2.0,1.0,"[1, 31]"
124,4.0,1.0,"[98, 116, 120, 125]"
85,3.0,1.0,"[149, 153, 156]"
228,1.0,1.0,[158]
441,3.0,1.0,"[51, 139, 143]"
315,1.0,1.0,[30]
106,1.0,1.0,[149]
246,3.0,1.0,"[55, 63, 64]"
129,1.0,1.0,[174]
93,2.0,1.0,"[26, 63]"
175,3.0,1.0,"[105, 143, 144]"
47,2.0,1.0,"[55, 62]"
252,2.0,1.0,"[22, 44]"
258,1.0,1.0,[33]
443,1.0,1.0,[3]
125,3.0,1.0,"[115, 133, 135]"
80,3.0,1.0,"[25, 72, 93]"
158,1.0,1.0,[82]
467,1.0,1.0,[4]
36,1.0,1.0,[118]
481,2.0,1.0,"[2, 5]"
459,1.0,1.0,[25]
34,2.0,1.0,"[72, 95]"
261,3.0,1.0,"[48, 64, 80]"
150,1.0,1.0,[135]
449,1.0,1.0,[140]
110,1.0,1.0,[130]
413,1.0,1.0,[170]
21,1.0,1.0,[65]
119,1.0,1.0,[46]
404,1.0,1.0,[133]
269,3.0,1.0,"[11, 47, 71]"
62,5.0,1.0,"[109, 123, 124, 137, 138]"
290,1.0,1.0,[139]
3,1.0,1.0,[31]
189,3.0,1.0,"[57, 100, 108]"
254,2.0,1.0,"[172, 173]"
291,1.0,1.0,[156]
487,1.0,1.0,[27]
35,1.0,1.0,[49]
268,2.0,1.0,"[17, 42]"
347,1.0,1.0,[125]
429,1.0,1.0,[165]
367,2.0,1.0,"[76, 90]"
477,1.0,1.0,[134]
116,1.0,1.0,[113]
238,4.0,1.0,"[139, 148, 153, 154]"
68,1.0,1.0,[129]
368,1.0,1.0,[9]
200,1.0,1.0,[15]
108,2.0,1.0,"[39, 63]"
101,5.0,1.0,"[57, 95, 103, 104, 105]"
230,1.0,1.0,[6]
152,2.0,1.0,"[148, 154]"
361,1.0,1.0,[156]
111,1.0,1.0,[79]
29,1.0,1.0,[147]
479,3.0,1.0,"[24, 56, 60]"
332,2.0,1.0,"[33, 86]"
349,1.0,1.0,[161]
143,3.0,1.0,"[11, 18, 23]"
426,2.0,1.0,"[36, 86]"
226,2.0,1.0,"[134, 150]"
174,1.0,1.0,[177]
399,2.0,1.0,"[75, 120]"
440,2.0,1.0,"[70, 98]"
147,1.0,1.0,[101]
292,3.0,1.0,"[3, 7, 14]"
72,1.0,1.0,[92]
64,1.0,1.0,[135]
484,1.0,1.0,[3]
393,2.0,1.0,"[135, 147]"
326,3.0,1.0,"[100, 102, 117]"
275,2.0,1.0,"[7, 18]"
43,1.0,1.0,[85]
201,1.0,1.0,[171]
194,3.0,1.0,"[133, 136, 163]"
0,5.0,1.0,"[37, 85, 91, 92, 94]"
358,1.0,1.0,[2]
138,4.0,1.0,"[1, 21, 24, 28]"
433,1.0,1.0,[137]
192,2.0,1.0,"[177, 178]"
434,1.0,1.0,[173]
5,1.0,1.0,[89]
260,2.0,1.0,"[76, 114]"
91,1.0,1.0,[172]
178,2.0,1.0,"[155, 161]"
280,1.0,1.0,[112]
242,2.0,1.0,"[45, 88]"
209,1.0,1.0,[151]
480,3.0,1.0,"[75, 122, 126]"
338,1.0,1.0,[161]
373,1.0,1.0,[9]
220,2.0,1.0,"[20, 22]"
115,1.0,1.0,[32]
165,1.0,1.0,[160]
190,1.0,1.0,[163]
303,1.0,1.0,[68]
11,2.0,1.0,"[18, 46]"
164,1.0,1.0,[50]
31,2.0,1.0,"[52, 116]"
202,4.0,1.0,"[79, 93, 94, 95]"
99,1.0,1.0,[171]
169,1.0,1.0,[96]
264,6.0,1.0,"[34, 65, 66, 71, 82, 83]"
412,4.0,1.0,"[5, 6, 7, 8]"
376,1.0,1.0,[56]
313,3.0,1.0,"[39, 50, 60]"
84,1.0,1.0,[61]
23,1.0,1.0,[17]
485,1.0,1.0,[19]
25,2.0,1.0,"[165, 174]"
173,1.0,1.0,[21]
295,5.0,1.0,"[131, 145, 146, 147, 152]"
159,2.0,1.0,"[106, 125]"
350,5.0,1.0,"[51, 106, 107, 108, 111]"
132,1.0,1.0,[132]
281,2.0,1.0,"[41, 42]"
324,2.0,1.0,"[32, 89]"
87,5.0,1.0,"[44, 79, 96, 103, 104]"
128,1.0,1.0,[17]
70,1.0,1.0,[148]
325,3.0,1.0,"[167, 169, 171]"
473,1.0,1.0,[153]
82,1.0,1.0,[121]
427,1.0,1.0,[19]
229,1.0,1.0,[30]
123,2.0,1.0,"[169, 170]"
328,1.0,1.0,[141]
53,1.0,1.0,[16]
81,1.0,1.0,[11]
462,1.0,1.0,[168]
289,1.0,1.0,[103]
486,2.0,1.0,"[22, 50]"
336,1.0,1.0,[78]
49,1.0,1.0,[23]
385,2.0,1.0,"[14, 66]"
156,1.0,1.0,[113]
482,1.0,1.0,[5]
217,2.0,1.0,"[38, 49]"
323,4.0,1.0,"[69, 113, 119, 121]"
89,4.0,1.0,"[31, 63, 64, 65]"
339,3.0,1.0,"[53, 73, 74]"
207,2.0,1.0,"[71, 110]"
442,2.0,1.0,"[82, 102]"
360,1.0,1.0,[122]
142,4.0,1.0,"[175, 176, 177, 178]"
231,1.0,1.0,[167]
157,1.0,1.0,[153]
421,1.0,1.0,[101]
272,1.0,1.0,[117]
247,1.0,1.0,[125]
478,2.0,1.0,"[81, 123]"
415,1.0,1.0,[131]
139,1.0,1.0,[14]
44,1.0,1.0,[80]
306,1.0,1.0,[45]
224,1.0,1.0,[34]
414,1.0,1.0,[113]
135,5.0,1.0,"[106, 156, 159, 160, 163]"
112,7.0,1.0,"[151, 158, 168, 169, 170, 171, 172]"
384,2.0,1.0,"[120, 130]"
359,1.0,1.0,[30]
219,3.0,1.0,"[87, 136, 139]"
464,1.0,1.0,[74]
114,2.0,1.0,"[14, 26]"
182,1.0,1.0,[133]
213,2.0,1.0,"[138, 141]"
20,3.0,1.0,"[12, 41, 48]"
351,1.0,1.0,[152]
299,1.0,1.0,[9]
162,5.0,1.0,"[131, 146, 147, 148, 160]"
98,1.0,1.0,[134]
370,4.0,1.0,"[19, 58, 71, 90]"
13,1.0,1.0,[173]
188,5.0,1.0,"[174, 175, 177, 178, 179]"
381,2.0,1.0,"[97, 101]"
9,1.0,1.0,[38]
321,3.0,1.0,"[95, 96, 97]"
65,3.0,1.0,"[52, 106, 109]"
28,1.0,1.0,[96]
181,2.0,1.0,"[61, 100]"
250,1.0,1.0,[3]
277,4.0,1.0,"[124, 154, 155, 159]"
379,3.0,1.0,"[66, 136, 140]"
322,1.0,1.0,[77]
468,1.0,1.0,[25]
232,1.0,1.0,[55]
408,2.0,1.0,"[14, 19]"
453,1.0,1.0,[29]
52,4.0,1.0,"[157, 164, 166, 169]"
199,1.0,1.0,[126]
270,1.0,1.0,[20]
107,1.0,1.0,[15]
249,1.0,1.0,[62]
344,2.0,1.0,"[107, 108]"
251,3.0,1.0,"[103, 133, 140]"
406,1.0,1.0,[21]
447,11.0,1.0,"[35, 64, 68, 69, 70, 72, 73, 74, 76, 77, 78]"
56,1.0,1.0,[158]
177,1.0,1.0,[84]
10,2.0,1.0,"[46, 72]"
109,1.0,1.0,[12]
59,1.0,1.0,[46]
363,3.0,1.0,"[90, 97, 110]"
48,6.0,1.0,"[39, 65, 67, 68, 69, 70]"
398,1.0,1.0,[126]
161,1.0,1.0,[122]
74,4.0,1.0,"[31, 43, 44, 45]"
355,5.0,1.0,"[129, 140, 143, 144, 145]"
183,1.0,1.0,[150]
245,1.0,1.0,[84]
145,2.0,1.0,"[114, 125]"
417,2.0,1.0,"[91, 122]"
134,2.0,1.0,"[57, 102]"
130,2.0,1.0,"[40, 79]"
92,1.0,1.0,[84]
167,3.0,1.0,"[9, 15, 17]"
204,1.0,1.0,[170]
140,2.0,1.0,"[61, 82]"
320,4.0,1.0,"[72, 118, 137, 142]"
490,2.0,1.0,"[138, 141]"
24,4.0,1.0,"[4, 61, 68, 69]"
141,1.0,1.0,[87]
41,1.0,1.0,[51]
146,1.0,1.0,[108]
316,3.0,1.0,"[21, 58, 59]"
166,2.0,1.0,"[141, 164]"
286,1.0,1.0,[128]
104,2.0,1.0,"[77, 100]"
397,3.0,1.0,"[115, 123, 124]"
118,2.0,1.0,"[49, 58]"
8,1.0,1.0,[29]
333,2.0,1.0,"[152, 160]"
211,1.0,1.0,[118]
155,1.0,1.0,[9]
149,4.0,1.0,"[116, 127, 128, 131]"
185,2.0,1.0,"[127, 163]"
301,1.0,1.0,[40]
259,1.0,1.0,[20]
400,1.0,1.0,[175]
266,1.0,1.0,[145]
476,1.0,1.0,[164]
227,1.0,1.0,[162]
94,1.0,1.0,[80]
365,4.0,1.0,"[41, 48, 49, 50]"
83,1.0,1.0,[99]
465,4.0,1.0,"[178, 179, 180, 181]"
319,3.0,1.0,"[70, 117, 119]"
282,5.0,1.0,"[171, 176, 177, 178, 179]"
392,2.0,1.0,"[141, 142]"
334,1.0,1.0,[162]
492,2.0,1.0,"[104, 111]"
276,5.0,1.0,"[28, 53, 54, 55, 59]"
302,2.0,1.0,"[43, 111]"
22,1.0,1.0,[145]
191,3.0,1.0,"[67, 130, 132]"
133,1.0,1.0,[77]
39,6.0,1.0,"[70, 117, 119, 123, 124, 128]"
428,1.0,1.0,[36]
75,1.0,1.0,[134]
179,1.0,1.0,[157]
96,1.0,1.0,[22]
472,1.0,1.0,[1]
287,1.0,1.0,[12]
298,1.0,1.0,[33]
54,1.0,1.0,[73]
454,1.0,1.0,[16]
448,1.0,1.0,[27]
380,4.0,1.0,"[28, 53, 54, 56]"
466,1.0,1.0,[39]
187,4.0,1.0,"[42, 83, 99, 104]"
151,1.0,1.0,[84]
136,2.0,1.0,"[99, 102]"
369,1.0,1.0,[48]
42,1.0,1.0,[138]
445,1.0,1.0,[35]
378,1.0,1.0,[32]
30,2.0,1.0,"[113, 121]"
437,1.0,1.0,[20]
418,7.0,1.0,"[2, 10, 12, 15, 16, 17, 18]"
102,1.0,1.0,[4]
308,1.0,1.0,[50]
137,1.0,1.0,[6]
405,1.0,1.0,[161]
455,1.0,1.0,[2]
310,2.0,1.0,"[132, 149]"
352,3.0,1.0,"[67, 80, 81]"
205,3.0,1.0,"[8, 25, 35]"
284,1.0,1.0,[99]
364,1.0,1.0,[40]
452,2.0,1.0,"[168, 169]"
50,1.0,1.0,[144]
458,1.0,1.0,[139]
1,1.0,1.0,[143]
69,1.0,1.0,[101]
340,4.0,1.0,"[40, 104, 106, 107]"
32,2.0,1.0,"[118, 155]"
243,2.0,1.0,"[69, 83]"
131,3.0,1.0,"[92, 108, 109]"
435,1.0,1.0,[161]
471,1.0,1.0,[1]
424,1.0,1.0,[5]
100,2.0,1.0,"[10, 85]"
197,1.0,1.0,[107]
77,1.0,1.0,[63]
61,1.0,1.0,[87]
27,2.0,1.0,"[38, 86]"
451,4.0,1.0,"[5, 11, 13, 18]"
215,1.0,1.0,[22]
420,1.0,1.0,[23]
446,3.0,1.0,"[13, 33, 34]"
212,3.0,1.0,"[10, 23, 24]"
312,1.0,1.0,[162]
240,1.0,1.0,[28]
160,1.0,1.0,[25]
198,2.0,1.0,"[127, 173]"
57,2.0,1.0,"[7, 12]"
309,1.0,1.0,[97]
148,1.0,1.0,[140]
17,2.0,1.0,"[41, 93]"
274,6.0,1.0,"[21, 42, 51, 53, 58, 59]"
371,1.0,1.0,[95]
403,2.0,1.0,"[23, 36]"
305,2.0,1.0,"[60, 61]"
218,1.0,1.0,[154]
180,1.0,1.0,[131]
383,3.0,1.0,"[83, 86, 87]"
263,4.0,1.0,"[111, 118, 119, 120]"
206,5.0,1.0,"[111, 128, 132, 135, 137]"
386,2.0,1.0,"[24, 49]"
15,1.0,1.0,[85]
221,1.0,1.0,[142]
203,3.0,1.0,"[16, 27, 30]"
439,1.0,1.0,[3]
375,1.0,1.0,[32]
14,1.0,1.0,[115]
488,3.0,1.0,"[35, 90, 91]"
45,1.0,1.0,[68]
33,1.0,1.0,[40]
297,6.0,1.0,"[71, 74, 76, 77, 79, 80]"
469,2.0,1.0,"[8, 24]"
237,1.0,1.0,[11]
122,1.0,1.0,[127]
